link_id , on_street , longitude , latitude
716146 , I-10 , -117.935267 , 34.072511
772355 , SR-101 , -118.646985 , 34.155468
812704 , 71 , -117.658775 , 33.930177
716143 , I-210 , -117.827384 , 34.120698
822698 , 10 , -115.66051 , 33.667482
716142 , I-210 , -117.842197 , 34.118072
716126 , I-10 , -118.052142 , 34.072116
716101 , I-10 , -118.116637 , 34.071832
1202564 , 22 , -118.034067 , 33.774446
716092 , I-10 , -118.142242 , 34.071237
822705 , 10 , -115.610103 , 33.671324
716091 , I-10 , -118.143166 , 34.071753
716088 , I-10 , -118.157927 , 34.064991
772396 , SR-47 , -118.283499 , 33.748921
716087 , I-10 , -118.157869 , 34.064648
822712 , 10 , -115.562588 , 33.677447
716085 , I-10 , -118.162584 , 34.061859
716084 , I-10 , -118.1672 , 34.061457
716081 , I-10 , -118.174805 , 34.059816
822713 , 10 , -115.562766 , 33.677723
716078 , I-10 , -118.184174 , 34.055622
716076 , I-10 , -118.192479 , 34.055539
826151 , 58 , -117.092171 , 34.892367
822719 , 10 , -115.51976 , 33.687197
716075 , I-10 , -118.192478 , 34.055302
716072 , I-10 , -118.203643 , 34.05403
772410 , SR-47 , -118.28202 , 33.749282
716069 , I-10 , -118.208184 , 34.053734
1202549 , 605 , -118.081298 , 33.804316
822726 , 10 , -115.479449 , 33.69646
716067 , I-10 , -118.211928 , 34.054832
1204607 , 5 , -117.706119 , 33.61329
825337 , 10 , -117.367435 , 34.068848
716063 , I-10 , -118.296311 , 34.037101
716057 , I-10 , -118.31346 , 34.037009
716050 , I-10 , -118.340217 , 34.034645
822733 , 10 , -115.430459 , 33.707106
716047 , I-10 , -118.345118 , 34.034419
716036 , I-10 , -118.38572 , 34.03383
772411 , SR-47 , -118.28202 , 33.749282
716032 , I-10 , -118.410926 , 34.030775
812690 , 71 , -117.660354 , 33.931112
716028 , I-10 , -118.218052 , 34.055153
826152 , 58 , -117.077055 , 34.870128
822740 , 10 , -115.381579 , 33.710386
716023 , I-5 , -118.68798 , 34.56993
716017 , I-5 , -118.588373 , 34.431501
1202537 , 605 , -118.081639 , 33.804144
716016 , I-5 , -118.588591 , 34.431272
822747 , 10 , -115.329058 , 33.703656
716010 , I-5 , -118.561273 , 34.371685
716007 , I-5 , -118.52245 , 34.341067
715996 , I-5 , -118.421251 , 34.243495
774011 , SR-134 , -118.201233 , 34.147469
772420 , SR-47 , -118.262283 , 33.749216
822748 , 10 , -115.329008 , 33.703946
715947 , I-5 , -118.171204 , 34.015278
715944 , I-5 , -118.165091 , 34.013231
1201382 , 405 , -117.855048 , 33.681745
822754 , 10 , -115.286753 , 33.694768
715938 , I-5 , -118.150887 , 34.00249
826789 , 91 , -117.647826 , 33.881862
715933 , I-5 , -118.128692 , 33.979814
715930 , I-5 , -118.122376 , 33.970282
822761 , 10 , -115.243333 , 33.681955
715929 , I-5 , -118.122585 , 33.970242
826159 , 15 , -117.555437 , 33.891504
1202527 , 605 , -118.08263 , 33.801078
772421 , SR-47 , -118.262284 , 33.749271
822762 , 10 , -115.243136 , 33.682301
812657 , 71 , -117.70568 , 33.979695
715920 , I-5 , -118.09497 , 33.938634
822768 , 10 , -115.204104 , 33.670421
715918 , I-5 , -118.091485 , 33.933812
715916 , I-5 , -118.085518 , 33.925031
822769 , 10 , -115.204 , 33.670769
715915 , I-5 , -118.085373 , 33.925126
715898 , I-5 , -118.021304 , 33.879966
772437 , I-405 , -118.418991 , 34.013171
822775 , 10 , -115.158205 , 33.656888
1221220 , 5 , -117.642871 , 33.452409
1221218 , 5 , -117.642871 , 33.452409
1221182 , 5 , -117.643687 , 33.452236
1221181 , 5 , -117.643363 , 33.452515
1221129 , 5 , -117.754654 , 33.669523
1220832 , 91 , -117.79151 , 33.854452
1220562 , 142 , -115.863007 , 33.93285
1220561 , 142 , -115.863007 , 33.93285
1220552 , 142 , -117.847744 , 33.918874
1220549 , 142 , -117.847744 , 33.918874
1220346 , 405 , -118.087452 , 33.775276
1220146 , 73 , 0 , 0
1220030 , 5 , -117.658285 , 33.502257
1220011 , 5 , -117.756821 , 33.675406
1219720 , 605 , -118.089263 , 33.788727
1219710 , 605 , -118.085712 , 33.798252
1219581 , 405 , -118.080793 , 33.774587
1219560 , 605 , -118.085057 , 33.798399
1219551 , 605 , -118.085057 , 33.798399
1219516 , 405 , -118.083385 , 33.774333
1219462 , 57 , -117.879694 , 33.870149
1219461 , 57 , -117.880036 , 33.870172
1219279 , 142 , -117.808873 , 33.924289
1219278 , 142 , -117.808881 , 33.924282
1219274 , 142 , -117.791964 , 33.937066
1219273 , 142 , -117.791964 , 33.937066
1219269 , 142 , -117.837094 , 33.922389
1219268 , 142 , -117.837094 , 33.922376
1219264 , 142 , -117.847645 , 33.924189
1219262 , 142 , -117.847654 , 33.924195
1219258 , 142 , -117.847858 , 33.918378
1219257 , 142 , -117.847842 , 33.918379
1219253 , 142 , -117.850905 , 33.911942
1219252 , 142 , -117.850871 , 33.911926
1219213 , 74 , -117.640877 , 33.512414
1219212 , 74 , -117.640724 , 33.512442
1219197 , 39 , -117.967363 , 33.973352
1219196 , 39 , -117.967358 , 33.973078
1219192 , 39 , -117.995654 , 33.884331
1219190 , 39 , -117.978446 , 33.908783
1219138 , 39 , -117.998298 , 33.873522
1219137 , 39 , -117.998271 , 33.873544
1219133 , 39 , -117.968135 , 33.917413
1219132 , 39 , -117.968144 , 33.91739
1219117 , 74 , -117.640757 , 33.512414
1219115 , 74 , -117.654661 , 33.503681
1219113 , 74 , -117.619877 , 33.51972
1219111 , 142 , -117.837062 , 33.922418
1219109 , 142 , -117.804517 , 33.926355
1219107 , 142 , -117.850428 , 33.912618
1219105 , 142 , -117.832638 , 33.922425
1219104 , 142 , -117.832645 , 33.922419
1219099 , 133 , -117.760031 , 33.638547
1219097 , 133 , -117.762069 , 33.59744
1219095 , 74 , -117.552329 , 33.529778
1219091 , 57 , -117.87977 , 33.784103
1219089 , 57 , -117.876754 , 33.84871
1219087 , 74 , -117.552471 , 33.529572
1219081 , 133 , -117.760532 , 33.638536
1219078 , 133 , -117.762077 , 33.59744
1219075 , 57 , -117.879978 , 33.78408
1219072 , 57 , -117.87659 , 33.848548
1218990 , 241 , -117.598947 , 33.632885
1218863 , 142 , -117.830509 , 33.921806
1218862 , 142 , -117.830525 , 33.921813
1218858 , 142 , -117.794967 , 33.932973
1218857 , 142 , -117.794967 , 33.932973
1218848 , 74 , -117.630405 , 33.516561
1218847 , 74 , -117.630096 , 33.516786
1218630 , 39 , -117.978845 , 33.907957
1218624 , 142 , -117.837062 , 33.922418
1218618 , 142 , -117.804517 , 33.926355
1218612 , 142 , -117.850452 , 33.912631
1218588 , 39 , -117.995528 , 33.88428
1218576 , 74 , -117.640757 , 33.512414
1218570 , 74 , -117.654671 , 33.503664
1218564 , 74 , -117.619877 , 33.51972
1218332 , 55 , -117.853816 , 33.7066
1218170 , 57 , -117.876205 , 33.857629
1218142 , 5 , -117.87198 , 33.773561
1201054 , 133 , -117.757145 , 33.658846
1202522 , 605 , -118.082928 , 33.801265
1217669 , 405 , -118.04427 , 33.775114
772438 , I-405 , -118.419222 , 34.01306
826903 , 10 , -116.504219 , 33.880151
826925 , 10 , -116.507092 , 33.882357
822782 , 10 , -115.11619 , 33.644481
826166 , 60 , -117.659091 , 34.030517
1202475 , 57 , -117.874418 , 33.94177
772454 , I-405 , -118.425665 , 34.021198
812654 , 71 , -117.709662 , 33.983823
822783 , 10 , -115.11604 , 33.644789
1201145 , 405 , -117.780491 , 33.658958
772455 , I-405 , -118.425434 , 34.021282
1202464 , 57 , -117.880028 , 33.927566
822800 , 10 , -115.070194 , 33.629159
773996 , SR-134 , -118.215868 , 34.145108
822801 , 10 , -115.069996 , 33.629505
772487 , SR-118 , -118.628964 , 34.273147
826170 , 210 , -117.245178 , 34.139726
1202451 , 57 , -117.880316 , 33.924498
822809 , 10 , -115.023521 , 33.616935
772488 , SR-118 , -118.629163 , 34.273228
812651 , 71 , -117.723887 , 33.999997
1202436 , 57 , -117.883406 , 33.911898
822816 , 10 , -114.973493 , 33.605935
1202422 , 57 , -117.883725 , 33.911942
1216589 , 5 , -118.000552 , 33.867584
1216538 , 5 , -118.002618 , 33.868853
772501 , I-110 , -118.254534 , 34.057348
1216530 , 5 , -118.002747 , 33.868758
822817 , 10 , -114.973462 , 33.606245
1216506 , 5 , -117.988832 , 33.86083
1216505 , 5 , -117.988638 , 33.861111
1204615 , 5 , -117.706373 , 33.613929
826171 , 38 , -116.845474 , 34.261021
1216230 , 241 , -117.724474 , 33.805156
1202408 , 57 , -117.882918 , 33.909102
822823 , 10 , -114.920811 , 33.606269
1216229 , 241 , -117.723982 , 33.805054
1216220 , 241 , -117.732745 , 33.793024
772513 , I-110 , -118.236605 , 34.068706
1216219 , 241 , -117.732419 , 33.792773
1216211 , 241 , -117.740614 , 33.788479
1216210 , 241 , -117.740214 , 33.788081
1202394 , 57 , -117.883179 , 33.909004
822824 , 10 , -114.9208 , 33.60658
1216202 , 241 , -117.747747 , 33.781037
1216201 , 241 , -117.747359 , 33.780854
1216195 , 241 , -117.745688 , 33.774325
1216194 , 241 , -117.745266 , 33.774525
1216188 , 241 , -117.736131 , 33.768365
1216187 , 241 , -117.735734 , 33.768557
772527 , I-405 , -118.422742 , 34.017417
812648 , 71 , -117.72374 , 34.000769
822831 , 10 , -114.87254 , 33.608564
1216179 , 241 , -117.732479 , 33.764533
1216178 , 241 , -117.732048 , 33.764686
826765 , 91 , -117.567101 , 33.879893
1216171 , 241 , -117.732266 , 33.760493
1202380 , 57 , -117.880844 , 33.903512
1216170 , 241 , -117.731849 , 33.760491
1216162 , 241 , -117.731925 , 33.753658
1216161 , 241 , -117.731375 , 33.753873
822832 , 10 , -114.872527 , 33.608914
1216153 , 241 , -117.72891 , 33.750483
1216152 , 241 , -117.728435 , 33.750837
772564 , SR-101 , -118.699009 , 34.147127
1202373 , 57 , -117.881123 , 33.903533
1216145 , 241 , -117.724156 , 33.747851
1216144 , 241 , -117.723689 , 33.748205
1216137 , 241 , -117.719118 , 33.727562
1216136 , 241 , -117.7187 , 33.72756
822840 , 10 , -114.829649 , 33.609629
1216129 , 241 , -117.719831 , 33.723599
773995 , SR-134 , -118.215868 , 34.144833
1216128 , 241 , -117.719366 , 33.723597
1216119 , 241 , -117.72071 , 33.71941
1216118 , 241 , -117.720085 , 33.719417
772571 , SR-101 , -118.707029 , 34.141832
1216112 , 241 , -117.72144 , 33.714185
812609 , 71 , -117.725039 , 34.003096
1202365 , 57 , -117.880523 , 33.890528
822842 , 10 , -114.829543 , 33.609931
1216111 , 241 , -117.720767 , 33.714233
1216105 , 241 , -117.717077 , 33.707049
1216104 , 241 , -117.716809 , 33.707301
1216095 , 241 , -117.701128 , 33.697666
1202353 , 57 , -117.880777 , 33.890014
1216094 , 241 , -117.700807 , 33.698099
1216086 , 241 , -117.70926 , 33.702968
822849 , 10 , -114.785437 , 33.609879
1216081 , 241 , -117.716474 , 33.857099
772582 , SR-101 , -118.625561 , 34.163687
1216077 , 241 , -117.684619 , 33.688012
1216070 , 241 , -117.684312 , 33.688391
1216068 , 241 , -117.678134 , 33.683722
1216067 , 241 , -117.6777 , 33.684156
1216059 , 241 , -117.667177 , 33.673482
822850 , 10 , -114.785404 , 33.610195
1216058 , 241 , -117.666951 , 33.673901
1202337 , 57 , -117.880463 , 33.887299
1216049 , 241 , -117.664966 , 33.672629
1216048 , 241 , -117.664757 , 33.673047
1216040 , 241 , -117.598853 , 33.632491
772583 , SR-101 , -118.625629 , 34.163851
1216039 , 241 , -117.598338 , 33.632551
1216033 , 241 , -117.599087 , 33.626998
1202322 , 57 , -117.880676 , 33.886973
822858 , 10 , -114.696374 , 33.606611
1216032 , 241 , -117.598691 , 33.626965
1216024 , 241 , -117.706433 , 33.700782
1216019 , 241 , -117.672076 , 33.676497
1216018 , 241 , -117.672512 , 33.67619
1216010 , 241 , -117.654362 , 33.668545
1216006 , 241 , -117.648198 , 33.666129
822859 , 10 , -114.696363 , 33.606884
1216002 , 241 , -117.6203 , 33.65411
772596 , SR-101 , -118.504947 , 34.171258
812601 , 71 , -117.732467 , 34.009497
1216001 , 241 , -117.620452 , 33.653612
1215987 , 241 , -117.713673 , 33.705022
1202308 , 57 , -117.880335 , 33.879289
1215986 , 241 , -117.713406 , 33.705353
1215965 , 22 , -118.093757 , 33.774287
822867 , 10 , -114.742632 , 33.609047
1215963 , 22 , -118.09389 , 33.774486
1215877 , 241 , -117.59922 , 33.626604
1215876 , 241 , -117.598826 , 33.626541
1202290 , 57 , -117.880509 , 33.877461
1215870 , 241 , -117.609774 , 33.613395
772597 , SR-101 , -118.504946 , 34.171093
1215869 , 241 , -117.609508 , 33.613291
1215863 , 241 , -117.611941 , 33.609027
1215862 , 241 , -117.611723 , 33.608949
1215856 , 241 , -117.612645 , 33.607484
1215855 , 241 , -117.612388 , 33.607407
1215849 , 241 , -117.613228 , 33.597596
822877 , 10 , -114.65095 , 33.606492
1215848 , 241 , -117.613475 , 33.597533
1215842 , 241 , -117.611394 , 33.591468
826177 , 71 , -117.662032 , 33.933073
1215841 , 241 , -117.611139 , 33.591517
772609 , SR-101 , -118.562818 , 34.173503
1202278 , 57 , -117.880597 , 33.872909
1215823 , 241 , -117.690509 , 33.692228
812588 , 71 , -117.735369 , 34.012586
1215822 , 241 , -117.690786 , 33.691883
1215811 , 55 , -117.830768 , 33.766064
822878 , 10 , -114.650919 , 33.606795
773975 , SR-134 , -118.222513 , 34.145838
1215809 , 55 , -117.83102 , 33.766063
1215775 , 57 , -117.879708 , 33.785039
1215252 , 22 , -117.929652 , 33.766026
772610 , SR-101 , -118.562817 , 34.173256
826939 , 215 , -117.171344 , 33.685031
1215250 , 22 , -117.929672 , 33.766227
1202263 , 57 , -117.877677 , 33.862915
822885 , 10 , -114.6057 , 33.607003
1215248 , 22 , -118.021241 , 33.774397
1215236 , 22 , -118.021237 , 33.774222
1204621 , 5 , -117.708837 , 33.615657
1215092 , 22 , -118.006512 , 33.773961
1215091 , 22 , -118.006387 , 33.77411
1215044 , 22 , -117.897524 , 33.77825
1202248 , 57 , -117.877746 , 33.862505
1215043 , 22 , -117.897411 , 33.778086
1215026 , 22 , -117.838422 , 33.776676
1215018 , 22 , -117.912824 , 33.770589
1215017 , 22 , -117.9127 , 33.770443
1215003 , 22 , -117.947091 , 33.765887
812586 , 71 , -117.741343 , 34.016643
822894 , 10 , -114.559775 , 33.607331
1215002 , 22 , -117.947105 , 33.766069
1214988 , 22 , -117.951479 , 33.765844
826959 , 215 , -117.170923 , 33.681884
1214987 , 22 , -117.951483 , 33.766035
1201125 , 405 , -117.749998 , 33.649159
1214972 , 22 , -117.955869 , 33.765986
1202230 , 57 , -117.875903 , 33.839593
1214955 , 22 , -117.979367 , 33.769419
822895 , 10 , -114.559744 , 33.607603
1214954 , 22 , -117.979242 , 33.769561
1214939 , 22 , -117.984644 , 33.770768
1214938 , 22 , -117.984641 , 33.770627
1214894 , 22 , -117.921033 , 33.767487
1214882 , 22 , -117.845687 , 33.775888
1214881 , 22 , -117.845685 , 33.77574
822961 , 10 , -116.694102 , 33.924391
1214871 , 22 , -118.01787 , 33.774384
1214869 , 22 , -118.017867 , 33.774231
826227 , 91 , -117.511391 , 33.889554
1202215 , 57 , -117.876231 , 33.839305
1214854 , 22 , -118.02947 , 33.77443
1214853 , 22 , -118.02945 , 33.774269
1214806 , 22 , -117.94188 , 33.766098
1214805 , 22 , -117.941886 , 33.765951
822962 , 10 , -116.694096 , 33.924808
1214715 , 22 , -117.884519 , 33.778888
1214461 , 405 , -117.901612 , 33.687857
1214373 , 55 , -117.868418 , 33.691071
1214322 , 55 , -117.866789 , 33.693361
1214321 , 55 , -117.866464 , 33.693144
1214253 , 55 , -117.844533 , 33.715668
1202201 , 57 , -117.875937 , 33.836869
822972 , 10 , -116.622721 , 33.918042
1214238 , 405 , -117.881163 , 33.687571
1214215 , 55 , -117.844701 , 33.715779
1214212 , 405 , -117.87454 , 33.687534
1214209 , 405 , -117.88118 , 33.687206
1214118 , 91 , -117.985317 , 33.856177
772669 , I-110 , -118.228344 , 34.078284
1214117 , 91 , -117.985309 , 33.85653
773774 , I-605 , -117.997446 , 34.08166
822973 , 10 , -116.622681 , 33.918339
1214081 , 405 , -117.892092 , 33.687357
1214080 , 405 , -117.892088 , 33.687624
826233 , 91 , -117.535409 , 33.883613
1214063 , 91 , -117.993592 , 33.856012
1202186 , 57 , -117.876256 , 33.836744
1214062 , 91 , -117.99361 , 33.856188
1214006 , 5 , -117.977413 , 33.855517
773974 , SR-134 , -118.222513 , 34.14559
822983 , 10 , -116.414147 , 33.82271
1214005 , 5 , -117.977067 , 33.855988
1213986 , 91 , -117.883255 , 33.853097
772689 , I-710 , -118.20756 , 33.780456
1213985 , 91 , -117.88308 , 33.853366
1213963 , 405 , -117.776893 , 33.65736
1213892 , 91 , -118.01971 , 33.856042
822984 , 10 , -116.413814 , 33.823009
1213891 , 91 , -118.019708 , 33.855866
1213742 , 57 , -117.878309 , 33.812139
1202172 , 57 , -117.875989 , 33.819893
1213741 , 57 , -117.878067 , 33.812075
1213721 , 57 , -117.876181 , 33.847079
772701 , I-710 , -118.207693 , 33.781087
1213700 , 5 , -117.671409 , 33.590392
1213699 , 5 , -117.671746 , 33.59031
822992 , 10 , -116.375531 , 33.798334
1213686 , 91 , -117.696401 , 33.873782
1204632 , 5 , -117.708713 , 33.61594
1213680 , 91 , -117.696289 , 33.873368
1213673 , 57 , -117.875788 , 33.855825
1213672 , 57 , -117.875442 , 33.855857
826249 , 91 , -117.365938 , 33.984435
1213654 , 405 , -117.864665 , 33.686292
1202160 , 57 , -117.876294 , 33.81945
1213652 , 405 , -117.86494 , 33.686027
772711 , I-710 , -118.207669 , 33.784632
822993 , 10 , -116.375455 , 33.798516
1213650 , 405 , -117.928822 , 33.693222
1213624 , 57 , -117.878651 , 33.801076
825334 , 10 , -117.367471 , 34.068648
1213618 , 57 , -117.878395 , 33.801127
1213571 , 5 , -117.67204 , 33.570039
1213570 , 5 , -117.671713 , 33.570125
823002 , 10 , -116.339021 , 33.776676
1213528 , 5 , -117.700799 , 33.609422
1213527 , 5 , -117.700606 , 33.609644
1213398 , 91 , -117.973747 , 33.856729
826271 , 215 , -117.229816 , 33.794053
1202146 , 57 , -117.876281 , 33.817185
1213274 , 55 , -117.831997 , 33.808952
1213229 , 5 , -117.631748 , 33.445448
1213215 , 5 , -117.631599 , 33.445597
823003 , 10 , -116.338868 , 33.776922
1213133 , 57 , -117.876227 , 33.843682
1213122 , 57 , -117.875959 , 33.832352
1213121 , 57 , -117.876222 , 33.832349
1213106 , 57 , -117.876219 , 33.825121
1213105 , 57 , -117.875955 , 33.825124
1213088 , 57 , -117.88108 , 33.896458
1213087 , 57 , -117.880783 , 33.896489
1213060 , 91 , -117.908261 , 33.853789
1202132 , 57 , -117.876874 , 33.816113
823011 , 10 , -116.23362 , 33.738839
1213041 , 57 , -117.875872 , 33.847112
1213036 , 57 , -117.875874 , 33.843676
1212957 , 55 , -117.832122 , 33.823049
1212955 , 55 , -117.831891 , 33.823052
1212938 , 55 , -117.830854 , 33.773183
823012 , 10 , -116.233646 , 33.739241
1212935 , 55 , -117.831049 , 33.773071
1212916 , 55 , -117.831825 , 33.812142
1212903 , 55 , -117.83209 , 33.817663
826272 , 215 , -117.230213 , 33.793918
1212901 , 55 , -117.831859 , 33.817638
1202118 , 57 , -117.8798 , 33.807735
1212882 , 55 , -117.831127 , 33.780985
823031 , 91 , -117.511113 , 33.889209
1212865 , 55 , -117.83148 , 33.802252
773954 , SR-134 , -118.293439 , 34.155441
1212863 , 55 , -117.831678 , 33.802277
1212842 , 55 , -117.831126 , 33.799069
1212840 , 55 , -117.831323 , 33.799039
1212725 , 91 , -117.917723 , 33.854186
826960 , 215 , -117.170799 , 33.681863
1212662 , 5 , -117.933112 , 33.833047
1212649 , 5 , -117.93633 , 33.834586
1202105 , 57 , -117.88023 , 33.807106
1212645 , 5 , -117.93635 , 33.834371
1212611 , 5 , -117.96459 , 33.847931
1212588 , 5 , -117.955106 , 33.843006
823132 , 91 , -117.656828 , 33.879193
1212496 , 73 , -117.897632 , 33.686487
1212495 , 73 , -117.897809 , 33.686326
1212489 , 73 , -117.8944 , 33.682917
1204638 , 5 , -117.712675 , 33.620057
1212484 , 73 , -117.892777 , 33.680625
826976 , 215 , -117.171018 , 33.684597
826993 , 215 , -117.171773 , 33.686425
1201118 , 405 , -117.739597 , 33.645935
1212480 , 73 , -117.887898 , 33.675094
826277 , 10 , -116.172322 , 33.715215
823180 , 91 , -117.65849 , 33.877605
1212479 , 73 , -117.887565 , 33.675287
1202093 , 57 , -117.879963 , 33.804646
1212473 , 73 , -117.884278 , 33.671474
1212472 , 73 , -117.884578 , 33.671222
1212464 , 73 , -117.878143 , 33.664354
1212463 , 73 , -117.877805 , 33.664611
823190 , 60 , -116.997316 , 33.933166
1212455 , 73 , -117.870608 , 33.659623
1212454 , 73 , -117.870889 , 33.659333
1212443 , 261 , -117.750567 , 33.781206
1212441 , 261 , -117.750424 , 33.780804
1212432 , 261 , -117.756846 , 33.777286
826281 , 10 , -116.087126 , 33.700328
1202078 , 57 , -117.880155 , 33.804194
1212431 , 261 , -117.756483 , 33.777236
823191 , 60 , -116.997389 , 33.933521
1212424 , 261 , -117.758596 , 33.770037
1212423 , 261 , -117.75794 , 33.770155
1212415 , 261 , -117.758985 , 33.763986
1212414 , 261 , -117.758456 , 33.763855
1212407 , 261 , -117.762222 , 33.757843
823210 , 71 , -117.652382 , 33.91748
1212406 , 261 , -117.76099 , 33.759599
1212405 , 261 , -117.760671 , 33.759444
1212398 , 261 , -117.761905 , 33.757768
1212391 , 261 , -117.763693 , 33.753473
1202067 , 57 , -117.877474 , 33.797696
1212390 , 261 , -117.76325 , 33.753426
823211 , 71 , -117.652495 , 33.917448
1212383 , 261 , -117.764961 , 33.748341
1212382 , 261 , -117.764643 , 33.748213
1212374 , 261 , -117.766353 , 33.743065
1202053 , 57 , -117.878217 , 33.794619
1212372 , 261 , -117.765993 , 33.743151
1212362 , 261 , -117.768229 , 33.739304
823242 , 215 , -117.31748 , 34.141928
1212359 , 261 , -117.76856 , 33.739437
1212348 , 261 , -117.772525 , 33.734772
1212347 , 261 , -117.772091 , 33.73442
1212346 , 261 , -117.772557 , 33.734772
823245 , 215 , -117.317937 , 34.141813
1212345 , 261 , -117.77209 , 33.734393
1212336 , 261 , -117.778482 , 33.727498
826285 , 10 , -115.946909 , 33.675749
1202040 , 57 , -117.878552 , 33.794454
1212333 , 261 , -117.778119 , 33.72742
1212320 , 261 , -117.780646 , 33.725191
